,MV,MAD,MSV,FLPM,SLPM,CVaR,EVaR,WR,MDD,ADD,CDaR,UCI,EDaR
Aguacate,0.061028701385776915,0.0200981074598102,0.02141547234633954,0.07040487459956728,0.05570544567355641,1.6625573607265462e-11,1.1226844877077346e-10,2.5703262601473757e-11,0.04341984904678228,0.05927834977772268,0.05221695419119524,0.04580031140806783,0.033224545045062615
Arroz,3.445422454205762e-10,4.739224903257641e-10,2.8227555760887683e-09,0.014584491958632722,0.012390787114064607,1.5180688455946e-11,9.113272857281341e-11,4.455544209352076e-10,0.02542096487191202,0.01643774521436609,0.023102703922940476,0.025972459054137566,0.028330433997841825
Auyama,0.3424853222387076,0.1356270528670038,0.26915360195993643,0.27862051811884114,0.18696823850780686,0.09644375544025961,0.0964437510539782,0.09644374315848792,0.15488918231492133,0.3439217532880718,0.2146610975122079,0.163222335836253,0.4311730938683365
Batata,2.4665413942248895e-11,9.237860789246862e-11,1.733440066421622e-09,0.055400262993359116,0.05126215848408987,2.086386141645483e-12,2.6447239904463215e-13,5.235358932861475e-10,0.04997369950724937,0.06490624711248857,0.054226302260370035,0.052631731101011464,0.042560103287189316
Berenjena,3.3352134507798974e-10,4.841021115985458e-10,2.736077488915522e-09,0.02535795225517532,0.027624108262885767,1.1129276086261696e-12,1.9532676733029535e-11,1.0306210467128453e-09,0.03282518375341972,0.023760430130126887,0.030791260511350147,0.033022480294694345,0.03968865494493914
Guineo,0.28414785738045806,0.6178072540439532,0.20221323115998893,0.006103872042775844,0.03416168069051127,0.0786153144847578,0.07861532498708947,0.07861533749218508,0.06343504631136467,0.04787308194258119,0.05616200251239751,0.06267807203707897,0.05398924786508436
Maíz,3.433182061220065e-10,4.671938907695176e-10,2.785306292391863e-09,0.014417412657043714,0.00341783194135743,1.5093436379882088e-11,9.972763074007767e-11,2.6772184814251605e-10,0.023076587598439918,0.01923895945630802,0.022271162655403978,0.023447031395047016,0.022449188829202864
Papa,0.022713238373497383,0.015175776846824904,7.502990194672758e-10,0.039407600710632804,0.0400072355210847,1.0124859345675283e-12,9.488708572442565e-11,1.5099753477899603e-10,0.037884399171228565,0.03959979386705558,0.039795973475768624,0.037147472462962974,0.034964039387900485
Plátano,2.4123506316540183e-09,7.737578347296288e-10,1.7125698958538196e-09,0.0073313362820417605,0.028901615807176383,4.669672293728876e-10,2.334705193093885e-09,1.0181904424949545e-08,0.04876488841862992,0.035561958522878315,0.043538696163747614,0.05061413055655665,0.043066560724584896
Yautía,0.289624815226251,0.04187855554129111,0.5072176650078365,0.36509294366565304,0.4063757433162189,0.8249409294018808,0.8249409206437055,0.8249408994505054,0.38874644029600197,0.2545758763038534,0.34239347393146374,0.36674827098657475,0.14669857557702623
Yuca,5.412476887149907e-09,1.1103020728396712e-09,8.467478752076553e-10,0.062301549900773884,0.0700061855581909,5.082569878968929e-12,4.658655210047612e-11,7.834963018023724e-10,0.06126865961536618,0.05465080029765753,0.0604776441835202,0.06550107669310745,0.05610849900101439
Ñame,5.652443430645971e-08,0.1694132498394599,1.613870247325207e-08,0.060977184815503425,0.08317896912305683,1.4994047470589727e-10,5.161219855420996e-10,6.4892869239877025e-09,0.07029509909468408,0.04019500408688992,0.060362728679634534,0.07321462817450795,0.06774705747181721
